School,Conference,ProjectedPoints,NumberOfProspects,SchoolURL,SuggestedAuctionValue,LeagifyPosition,ProjectedPointsAboveAverage,ProjectedPointsAboveReplacement,AveragePointsForPosition,ReplacementValueAverageForPosition
Ohio State,Big Ten,225,17,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/ohio_st.svg,,Big Ten,144.91,214.13,80.090000000000003,10.869999999999999
Texas,SEC,202,21,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/texas.svg,,SEC,97.099999999999994,182.5,104.90000000000001,19.5
Georgia,SEC,160,18,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/georgia.svg,,SEC,55.090000000000003,140.5,104.90000000000001,19.5
Michigan,Big Ten,148,13,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/michigan.svg,,Big Ten,67.909999999999997,137.13,80.090000000000003,10.869999999999999
Ole Miss,SEC,144,16,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/mississippi.svg,,SEC,39.090000000000003,124.5,104.90000000000001,19.5
Oregon,Big Ten,116,20,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/oregon.svg,,Big Ten,35.899999999999999,105.13,80.090000000000003,10.869999999999999
LSU,SEC,109,13,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/lsu.svg,,SEC,4.0899999999999999,89.5,104.90000000000001,19.5
Penn State,Big Ten,100,12,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/penn_st.svg,,Big Ten,19.899999999999999,89.129999999999995,80.090000000000003,10.869999999999999
Alabama,SEC,95,9,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/alabama.svg,,SEC,-9.9000000000000004,75.5,104.90000000000001,19.5
South Carolina,SEC,89,16,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/south_carolina.svg,,SEC,-15.9,69.5,104.90000000000001,19.5
Miami (FL),ACC,89,13,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/miami.svg,,ACC,36.399999999999999,72.25,52.600000000000001,16.75
Colorado,Big 12,84,9,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/colorado.svg,,Big 12,33.789999999999999,68.640000000000001,50.200000000000003,15.359999999999999
Notre Dame,FBS - Independent,75,13,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/notre_dame.svg,,Flex,0,0,75,75
Missouri,SEC,73,9,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/missouri.svg,,SEC,-31.899999999999999,53.5,104.90000000000001,19.5
Tennessee,SEC,65,11,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/tennessee.svg,,SEC,-39.899999999999999,45.5,104.90000000000001,19.5
