School,Conference,ProjectedPoints,NumberOfProspects,SchoolURL
Ohio State,Big Ten,225,17,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/ohio_st.svg
Texas,SEC,202,21,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/texas.svg
Georgia,SEC,160,18,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/georgia.svg
Michigan,Big Ten,148,13,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/michigan.svg
Ole Miss,SEC,144,16,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/mississippi.svg
Oregon,Big Ten,116,20,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/oregon.svg
LSU,SEC,109,13,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/lsu.svg
Penn State,Big Ten,100,12,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/penn_st.svg
Alabama,SEC,95,9,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/alabama.svg
South Carolina,SEC,89,16,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/south_carolina.svg
Miami (FL),ACC,89,13,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/miami.svg
Colorado,Big 12,84,9,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/colorado.svg
Notre Dame,FBS - Independent,75,13,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/notre_dame.svg
Missouri,SEC,73,9,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/missouri.svg
Tennessee,SEC,65,11,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/tennessee.svg
Texas A&M,SEC,65,8,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/texas_a&amp;m.svg
Arizona,Big 12,57,5,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/arizona.svg
Iowa,Big Ten,55,11,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/iowa.svg
Iowa State,Big 12,52,6,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/iowa_st.svg
Kentucky,SEC,47,10,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/kentucky.svg
North Carolina,ACC,47,9,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/north_carolina.svg
Florida State,ACC,46,14,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/florida_st.svg
Minnesota,Big Ten,44,11,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/minnesota.svg
Boston College,ACC,42,6,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/boston_college.svg
Boise State,FBS - Mountain West,42,4,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/boise_st.svg
Virginia Tech,ACC,39,10,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/virginia_tech.svg
Florida,SEC,37,13,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/florida.svg
UCLA,Big Ten,37,7,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/ucla.svg
Arkansas,SEC,36,10,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/arkansas.svg
Louisville,ACC,35,9,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/louisville.svg
Syracuse,ACC,32,9,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/syracuse.svg
Kansas,Big 12,30,8,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/kansas.svg
Marshall,FBS - CUSA,30,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/marshall.svg
Maryland,Big Ten,29,8,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/maryland.svg
TCU,Big 12,28,5,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/tcu.svg
North Dakota State,FCS,25,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/north_dakota_st.svg
Nebraska,Big Ten,24,9,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/nebraska.svg
Kansas State,Big 12,24,7,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/kansas_st.svg
Clemson,ACC,24,7,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/clemson.svg
Toledo,FBS - MAC,24,5,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/toledo.svg
Rutgers,Big Ten,23,9,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/rutgers.svg
UCF,Big 12,22,11,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/ucf.svg
West Virginia,Big 12,22,8,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/west_virginia.svg
Oklahoma State,Big 12,22,8,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/oklahoma_st.svg
Stanford,ACC,22,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/stanford.svg
